,other_features,dcor
0,spectralFluxV_sma3nz_amean,0.9
1,spectralFlux_sma3_amean,0.89
2,F0semitoneFrom27.5Hz_sma3nz_amean,0.88
3,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.88
4,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.86
5,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.82
6,spectralFluxUV_sma3nz_amean,0.78
7,slopeUV500-1500_sma3nz_amean,0.7
8,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.57
9,slopeV500-1500_sma3nz_amean,0.57
10,spectralFlux_sma3_stddevNorm,0.54
11,shimmerLocaldB_sma3nz_amean,0.53
12,shimmerLocaldB_sma3nz_stddevNorm,0.48
13,slopeV0-500_sma3nz_amean,0.47
14,F3frequency_sma3nz_amean,0.46
15,VoicedSegmentsPerSec,0.45
16,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.44
17,F1bandwidth_sma3nz_amean,0.43
18,F2frequency_sma3nz_amean,0.43
19,MeanUnvoicedSegmentLength,0.42
