,MLPClassifier
0,21.599681854248047
1,22.08346700668335
2,19.67532515525818
3,21.661054849624634
4,22.09109902381897
5,19.204758882522583
6,20.537689208984375
7,19.751845121383667
8,20.593402862548828
9,25.722025871276855
10,20.37772011756897
11,20.36895179748535
12,21.18513798713684
13,23.059143781661987
14,19.83905291557312
15,19.986263036727905
16,19.018226861953735
17,18.941966772079468
18,22.721029043197632
19,22.381319046020508
20,17.79280996322632
21,25.261590003967285
22,26.615260124206543
23,23.0727481842041
24,20.712247848510742
25,19.4250009059906
26,20.952284812927246
27,22.483316898345947
28,21.376086950302124
29,21.564186096191406
30,20.327800035476685
31,19.136839866638184
32,21.008265256881714
33,21.167213916778564
34,19.094798803329468
35,20.514144897460938
36,20.77547597885132
37,19.142765760421753
38,20.910430908203125
39,20.615864038467407
40,20.45076298713684
41,26.353275299072266
42,20.505669116973877
43,22.448823928833008
44,24.3661150932312
45,21.39636492729187
46,19.284825086593628
47,21.589839935302734
48,20.84891700744629
49,20.404268980026245
